,user,time,x,y,z
281,1,2024-10-22 04:41:00,-0.762478,-1.201172,-1.050644
282,1,2024-10-22 04:42:00,-0.886258,-0.670477,-0.990232
283,1,2024-10-22 04:43:00,-1.250277,0.065548,-0.921079
284,1,2024-10-22 04:44:00,-1.145231,-0.218509,-0.838796
285,1,2024-10-22 04:45:00,-0.830837,-0.1955,-0.738353
286,1,2024-10-22 04:46:00,-0.49905,0.246724,-0.527231
287,1,2024-10-22 04:47:00,-0.115469,0.418952,-0.240625
288,1,2024-10-22 04:48:00,0.210306,0.06835,0.040906
289,1,2024-10-22 04:49:00,0.818727,0.323372,0.473186
290,1,2024-10-22 04:50:00,1.899143,0.491414,1.201567
291,1,2024-10-22 04:51:00,2.136824,0.134318,1.851027
292,1,2024-10-22 04:52:00,2.670715,0.389626,2.01039
293,1,2024-10-22 04:53:00,3.14012,0.62648,1.779424
294,1,2024-10-22 04:54:00,2.583457,0.319887,1.411665
295,1,2024-10-22 04:55:00,2.162964,1.106991,1.277396
296,1,2024-10-22 04:56:00,1.706407,1.307999,1.222675
297,1,2024-10-22 04:57:00,1.737368,0.530522,1.152317
298,1,2024-10-22 04:58:00,2.3093,0.102411,1.422848
299,1,2024-10-22 04:59:00,2.603288,-0.816255,1.799956
300,1,2024-10-22 05:00:00,2.885444,-0.804903,2.178995
301,1,2024-10-22 05:01:00,2.328189,-0.652716,2.166361
302,1,2024-10-22 05:02:00,1.696087,-0.947943,2.217872
303,1,2024-10-22 05:03:00,1.825854,-1.271181,2.220261
304,1,2024-10-22 05:04:00,2.033249,-1.642769,1.992518
305,1,2024-10-22 05:05:00,1.954954,-1.691781,1.796549
306,1,2024-10-22 05:06:00,1.515259,-1.57187,1.229303
307,1,2024-10-22 05:07:00,0.763962,-1.298265,0.592386
308,1,2024-10-22 05:08:00,-0.249829,-1.163727,0.061703
309,1,2024-10-22 05:09:00,-1.295455,-1.113697,-0.353726
310,1,2024-10-22 05:10:00,-1.884641,-1.557508,-0.743969
311,1,2024-10-22 05:11:00,-0.963468,-0.877347,-0.871934
312,1,2024-10-22 05:12:00,-0.380347,-0.782286,-0.907506
313,1,2024-10-22 05:13:00,0.398634,-1.690189,-0.179852
314,1,2024-10-22 05:14:00,0.581362,-2.211925,0.663852
315,1,2024-10-22 05:15:00,0.291441,-1.987755,1.065327
316,1,2024-10-22 05:16:00,0.17941,0.239318,0.20284
317,1,2024-10-22 05:17:00,-0.911761,1.260483,-1.936125
318,1,2024-10-22 05:18:00,-1.214408,1.554275,-0.288212
